speed_kn,foc_mt_day,draft_m,wave_m,wind_beaufort
10.0,9.78,7.0,3.25,3
10.0,9.98,7.0,3.25,4
10.0,10.18,7.0,3.25,5
10.0,10.38,7.0,3.25,6
10.0,10.58,7.0,3.25,7
10.0,10.78,7.0,3.25,8
10.0,9.33,7.0,3.5,0
10.0,9.54,7.0,3.5,1
10.0,9.74,7.0,3.5,2
10.0,9.95,7.0,3.5,3
10.0,10.15,7.0,3.5,4
10.0,10.36,7.0,3.5,5
10.0,10.56,7.0,3.5,6
10.0,10.77,7.0,3.5,7
10.0,10.97,7.0,3.5,8
10.0,9.49,7.0,3.75,0
10.0,9.7,7.0,3.75,1
10.0,9.91,7.0,3.75,2
10.0,10.12,7.0,3.75,3
10.0,10.33,7.0,3.75,4
10.0,10.53,7.0,3.75,5
10.0,10.74,7.0,3.75,6
10.0,10.95,7.0,3.75,7
10.0,11.16,7.0,3.75,8
10.0,9.65,7.0,4.0,0
10.0,9.86,7.0,4.0,1
10.0,10.07,7.0,4.0,2
10.0,10.29,7.0,4.0,3
10.0,10.5,7.0,4.0,4
10.0,10.71,7.0,4.0,5
10.0,10.92,7.0,4.0,6
10.0,11.14,7.0,4.0,7
10.0,11.35,7.0,4.0,8
10.0,7.17,7.2,0.0,0
10.0,7.33,7.2,0.0,1
10.0,7.49,7.2,0.0,2
10.0,7.65,7.2,0.0,3
10.0,7.81,7.2,0.0,4
10.0,7.96,7.2,0.0,5
10.0,8.12,7.2,0.0,6
10.0,8.28,7.2,0.0,7
10.0,8.44,7.2,0.0,8
10.0,7.34,7.2,0.25,0
10.0,7.5,7.2,0.25,1
10.0,7.66,7.2,0.25,2
10.0,7.82,7.2,0.25,3
10.0,7.98,7.2,0.25,4
10.0,8.14,7.2,0.25,5
10.0,8.3,7.2,0.25,6
10.0,8.47,7.2,0.25,7
10.0,8.63,7.2,0.25,8
10.0,7.5,7.2,0.5,0
10.0,7.66,7.2,0.5,1
10.0,7.83,7.2,0.5,2
10.0,7.99,7.2,0.5,3
10.0,8.16,7.2,0.5,4
10.0,8.32,7.2,0.5,5
10.0,8.49,7.2,0.5,6
10.0,8.65,7.2,0.5,7
10.0,8.82,7.2,0.5,8
10.0,7.66,7.2,0.75,0
10.0,7.83,7.2,0.75,1
10.0,8.0,7.2,0.75,2
10.0,8.16,7.2,0.75,3
10.0,8.33,7.2,0.75,4
10.0,8.5,7.2,0.75,5
10.0,8.67,7.2,0.75,6
10.0,8.84,7.2,0.75,7
10.0,9.01,7.2,0.75,8
10.0,7.82,7.2,1.0,0
10.0,7.99,7.2,1.0,1
10.0,8.16,7.2,1.0,2
10.0,8.34,7.2,1.0,3
10.0,8.51,7.2,1.0,4
10.0,8.68,7.2,1.0,5
10.0,8.85,7.2,1.0,6
10.0,9.02,7.2,1.0,7
10.0,9.2,7.2,1.0,8
10.0,7.98,7.2,1.25,0
10.0,8.16,7.2,1.25,1
10.0,8.33,7.2,1.25,2
10.0,8.51,7.2,1.25,3
10.0,8.68,7.2,1.25,4
10.0,8.86,7.2,1.25,5
10.0,9.03,7.2,1.25,6
10.0,9.21,7.2,1.25,7
10.0,9.39,7.2,1.25,8
10.0,8.14,7.2,1.5,0
10.0,8.32,7.2,1.5,1
10.0,8.5,7.2,1.5,2
10.0,8.68,7.2,1.5,3
10.0,8.86,7.2,1.5,4
10.0,9.04,7.2,1.5,5
10.0,9.22,7.2,1.5,6
10.0,9.4,7.2,1.5,7
10.0,9.58,7.2,1.5,8
10.0,8.3,7.2,1.75,0
10.0,8.49,7.2,1.75,1
10.0,8.67,7.2,1.75,2
10.0,8.85,7.2,1.75,3
10.0,9.03,7.2,1.75,4
10.0,9.22,7.2,1.75,5
10.0,9.4,7.2,1.75,6
10.0,9.58,7.2,1.75,7
10.0,9.77,7.2,1.75,8
10.0,8.47,7.2,2.0,0
10.0,8.65,7.2,2.0,1
10.0,8.84,7.2,2.0,2
10.0,9.02,7.2,2.0,3
10.0,9.21,7.2,2.0,4
10.0,9.4,7.2,2.0,5
10.0,9.58,7.2,2.0,6
10.0,9.77,7.2,2.0,7
10.0,9.96,7.2,2.0,8
10.0,8.63,7.2,2.25,0
10.0,8.82,7.2,2.25,1
10.0,9.01,7.2,2.25,2
10.0,9.2,7.2,2.25,3
10.0,9.39,7.2,2.25,4
10.0,9.58,7.2,2.25,5
10.0,9.77,7.2,2.25,6
10.0,9.96,7.2,2.25,7
10.0,10.15,7.2,2.25,8
10.0,8.79,7.2,2.5,0
10.0,8.98,7.2,2.5,1
10.0,9.18,7.2,2.5,2
10.0,9.37,7.2,2.5,3
10.0,9.56,7.2,2.5,4
10.0,9.76,7.2,2.5,5
10.0,9.95,7.2,2.5,6
10.0,10.14,7.2,2.5,7
10.0,10.34,7.2,2.5,8
10.0,8.95,7.2,2.75,0
10.0,9.15,7.2,2.75,1
10.0,9.34,7.2,2.75,2
10.0,9.54,7.2,2.75,3
10.0,9.74,7.2,2.75,4
10.0,9.93,7.2,2.75,5
10.0,10.13,7.2,2.75,6
10.0,10.33,7.2,2.75,7
10.0,10.52,7.2,2.75,8
10.0,9.11,7.2,3.0,0
10.0,9.31,7.2,3.0,1
10.0,9.51,7.2,3.0,2
10.0,9.71,7.2,3.0,3
10.0,9.91,7.2,3.0,4
10.0,10.11,7.2,3.0,5
10.0,10.31,7.2,3.0,6
10.0,10.51,7.2,3.0,7
10.0,10.71,7.2,3.0,8
10.0,9.27,7.2,3.25,0
10.0,9.48,7.2,3.25,1
10.0,9.68,7.2,3.25,2
10.0,9.88,7.2,3.25,3
10.0,10.09,7.2,3.25,4
10.0,10.29,7.2,3.25,5
10.0,10.5,7.2,3.25,6
10.0,10.7,7.2,3.25,7
10.0,10.9,7.2,3.25,8
10.0,9.43,7.2,3.5,0
10.0,9.64,7.2,3.5,1
10.0,9.85,7.2,3.5,2
10.0,10.06,7.2,3.5,3
10.0,10.26,7.2,3.5,4
10.0,10.47,7.2,3.5,5
10.0,10.68,7.2,3.5,6
10.0,10.89,7.2,3.5,7
10.0,11.09,7.2,3.5,8
10.0,9.6,7.2,3.75,0
10.0,9.81,7.2,3.75,1
10.0,10.02,7.2,3.75,2
10.0,10.23,7.2,3.75,3
10.0,10.44,7.2,3.75,4
10.0,10.65,7.2,3.75,5
10.0,10.86,7.2,3.75,6
10.0,11.07,7.2,3.75,7
10.0,11.28,7.2,3.75,8
10.0,9.76,7.2,4.0,0
10.0,9.97,7.2,4.0,1
10.0,10.19,7.2,4.0,2
10.0,10.4,7.2,4.0,3
10.0,10.62,7.2,4.0,4
10.0,10.83,7.2,4.0,5
10.0,11.04,7.2,4.0,6
10.0,11.26,7.2,4.0,7
10.0,11.47,7.2,4.0,8
10.0,7.25,7.4,0.0,0
10.0,7.41,7.4,0.0,1
10.0,7.57,7.4,0.0,2
10.0,7.73,7.4,0.0,3
10.0,7.89,7.4,0.0,4
10.0,8.05,7.4,0.0,5
10.0,8.21,7.4,0.0,6
10.0,8.37,7.4,0.0,7
10.0,8.53,7.4,0.0,8
10.0,7.42,7.4,0.25,0
10.0,7.58,7.4,0.25,1
10.0,7.74,7.4,0.25,2
10.0,7.91,7.4,0.25,3
10.0,8.07,7.4,0.25,4
10.0,8.23,7.4,0.25,5
10.0,8.4,7.4,0.25,6
10.0,8.56,7.4,0.25,7
10.0,8.72,7.4,0.25,8
10.0,7.58,7.4,0.5,0
10.0,7.75,7.4,0.5,1
10.0,7.91,7.4,0.5,2
10.0,8.08,7.4,0.5,3
10.0,8.25,7.4,0.5,4
10.0,8.41,7.4,0.5,5
10.0,8.58,7.4,0.5,6
10.0,8.75,7.4,0.5,7
10.0,8.91,7.4,0.5,8
10.0,7.74,7.4,0.75,0
10.0,7.91,7.4,0.75,1
10.0,8.08,7.4,0.75,2
10.0,8.25,7.4,0.75,3
10.0,8.42,7.4,0.75,4
10.0,8.59,7.4,0.75,5
10.0,8.76,7.4,0.75,6
10.0,8.93,7.4,0.75,7
10.0,9.11,7.4,0.75,8
10.0,7.91,7.4,1.0,0
10.0,8.08,7.4,1.0,1
10.0,8.25,7.4,1.0,2
10.0,8.43,7.4,1.0,3
10.0,8.6,7.4,1.0,4
10.0,8.78,7.4,1.0,5
10.0,8.95,7.4,1.0,6
10.0,9.12,7.4,1.0,7
10.0,9.3,7.4,1.0,8
10.0,8.07,7.4,1.25,0
10.0,8.25,7.4,1.25,1
10.0,8.42,7.4,1.25,2
10.0,8.6,7.4,1.25,3
10.0,8.78,7.4,1.25,4
10.0,8.96,7.4,1.25,5
10.0,9.13,7.4,1.25,6
10.0,9.31,7.4,1.25,7
10.0,9.49,7.4,1.25,8
10.0,8.23,7.4,1.5,0
10.0,8.41,7.4,1.5,1
10.0,8.59,7.4,1.5,2
10.0,8.78,7.4,1.5,3
10.0,8.96,7.4,1.5,4
10.0,9.14,7.4,1.5,5
10.0,9.32,7.4,1.5,6
10.0,9.5,7.4,1.5,7
10.0,9.68,7.4,1.5,8
10.0,8.4,7.4,1.75,0
10.0,8.58,7.4,1.75,1
10.0,8.76,7.4,1.75,2
10.0,8.95,7.4,1.75,3
10.0,9.13,7.4,1.75,4
10.0,9.32,7.4,1.75,5
10.0,9.5,7.4,1.75,6
10.0,9.69,7.4,1.75,7
10.0,9.87,7.4,1.75,8
10.0,8.56,7.4,2.0,0
10.0,8.75,7.4,2.0,1
10.0,8.94,7.4,2.0,2
10.0,9.12,7.4,2.0,3
10.0,9.31,7.4,2.0,4
10.0,9.5,7.4,2.0,5
10.0,9.69,7.4,2.0,6
10.0,9.88,7.4,2.0,7
10.0,10.06,7.4,2.0,8
10.0,8.72,7.4,2.25,0
10.0,8.91,7.4,2.25,1
10.0,9.11,7.4,2.25,2
10.0,9.3,7.4,2.25,3
10.0,9.49,7.4,2.25,4
10.0,9.68,7.4,2.25,5
10.0,9.87,7.4,2.25,6
10.0,10.06,7.4,2.25,7
10.0,10.26,7.4,2.25,8
10.0,8.88,7.4,2.5,0
10.0,9.08,7.4,2.5,1
10.0,9.28,7.4,2.5,2
10.0,9.47,7.4,2.5,3
10.0,9.67,7.4,2.5,4
10.0,9.86,7.4,2.5,5
10.0,10.06,7.4,2.5,6
10.0,10.25,7.4,2.5,7
10.0,10.45,7.4,2.5,8
10.0,9.05,7.4,2.75,0
10.0,9.25,7.4,2.75,1
10.0,9.45,7.4,2.75,2
10.0,9.65,7.4,2.75,3
10.0,9.84,7.4,2.75,4
10.0,10.04,7.4,2.75,5
10.0,10.24,7.4,2.75,6
10.0,10.44,7.4,2.75,7
10.0,10.64,7.4,2.75,8
10.0,9.21,7.4,3.0,0
10.0,9.41,7.4,3.0,1
10.0,9.62,7.4,3.0,2
10.0,9.82,7.4,3.0,3
10.0,10.02,7.4,3.0,4
10.0,10.22,7.4,3.0,5
10.0,10.43,7.4,3.0,6
10.0,10.63,7.4,3.0,7
10.0,10.83,7.4,3.0,8
10.0,9.37,7.4,3.25,0
10.0,9.58,7.4,3.25,1
10.0,9.79,7.4,3.25,2
10.0,9.99,7.4,3.25,3
10.0,10.2,7.4,3.25,4
10.0,10.41,7.4,3.25,5
10.0,10.61,7.4,3.25,6
10.0,10.82,7.4,3.25,7
10.0,11.02,7.4,3.25,8
10.0,9.54,7.4,3.5,0
10.0,9.75,7.4,3.5,1
10.0,9.96,7.4,3.5,2
10.0,10.17,7.4,3.5,3
10.0,10.38,7.4,3.5,4
10.0,10.59,7.4,3.5,5
10.0,10.8,7.4,3.5,6
10.0,11.01,7.4,3.5,7
10.0,11.22,7.4,3.5,8
10.0,9.7,7.4,3.75,0
10.0,9.91,7.4,3.75,1
10.0,10.13,7.4,3.75,2
10.0,10.34,7.4,3.75,3
10.0,10.55,7.4,3.75,4
10.0,10.77,7.4,3.75,5
10.0,10.98,7.4,3.75,6
10.0,11.19,7.4,3.75,7
10.0,11.41,7.4,3.75,8
10.0,9.86,7.4,4.0,0
10.0,10.08,7.4,4.0,1
10.0,10.3,7.4,4.0,2
10.0,10.52,7.4,4.0,3
10.0,10.73,7.4,4.0,4
10.0,10.95,7.4,4.0,5
10.0,11.17,7.4,4.0,6
10.0,11.38,7.4,4.0,7
10.0,11.6,7.4,4.0,8
10.0,7.33,7.6,0.0,0
10.0,7.49,7.6,0.0,1
10.0,7.65,7.6,0.0,2
10.0,7.82,7.6,0.0,3
10.0,7.98,7.6,0.0,4
10.0,8.14,7.6,0.0,5
10.0,8.3,7.6,0.0,6
10.0,8.46,7.6,0.0,7
10.0,8.62,7.6,0.0,8
10.0,7.5,7.6,0.25,0
10.0,7.66,7.6,0.25,1
10.0,7.83,7.6,0.25,2
10.0,7.99,7.6,0.25,3
10.0,8.16,7.6,0.25,4
10.0,8.32,7.6,0.25,5
10.0,8.49,7.6,0.25,6
10.0,8.65,7.6,0.25,7
10.0,8.82,7.6,0.25,8
10.0,7.66,7.6,0.5,0
10.0,7.83,7.6,0.5,1
10.0,8.0,7.6,0.5,2
10.0,8.17,7.6,0.5,3
10.0,8.34,7.6,0.5,4
10.0,8.5,7.6,0.5,5
10.0,8.67,7.6,0.5,6
10.0,8.84,7.6,0.5,7
10.0,9.01,7.6,0.5,8
10.0,7.83,7.6,0.75,0
10.0,8.0,7.6,0.75,1
10.0,8.17,7.6,0.75,2
10.0,8.34,7.6,0.75,3
10.0,8.52,7.6,0.75,4
10.0,8.69,7.6,0.75,5
10.0,8.86,7.6,0.75,6
10.0,9.03,7.6,0.75,7
10.0,9.2,7.6,0.75,8
10.0,7.99,7.6,1.0,0
10.0,8.17,7.6,1.0,1
10.0,8.34,7.6,1.0,2
10.0,8.52,7.6,1.0,3
10.0,8.7,7.6,1.0,4
10.0,8.87,7.6,1.0,5
10.0,9.05,7.6,1.0,6
10.0,9.22,7.6,1.0,7
10.0,9.4,7.6,1.0,8
10.0,8.16,7.6,1.25,0
10.0,8.34,7.6,1.25,1
10.0,8.52,7.6,1.25,2
10.0,8.7,7.6,1.25,3
10.0,8.87,7.6,1.25,4
10.0,9.05,7.6,1.25,5
10.0,9.23,7.6,1.25,6
10.0,9.41,7.6,1.25,7
10.0,9.59,7.6,1.25,8
10.0,8.32,7.6,1.5,0
10.0,8.5,7.6,1.5,1
10.0,8.69,7.6,1.5,2
10.0,8.87,7.6,1.5,3
10.0,9.05,7.6,1.5,4
10.0,9.24,7.6,1.5,5
10.0,9.42,7.6,1.5,6
10.0,9.6,7.6,1.5,7
10.0,9.79,7.6,1.5,8
10.0,8.49,7.6,1.75,0
10.0,8.67,7.6,1.75,1
10.0,8.86,7.6,1.75,2
10.0,9.05,7.6,1.75,3
10.0,9.23,7.6,1.75,4
10.0,9.42,7.6,1.75,5
10.0,9.61,7.6,1.75,6
10.0,9.79,7.6,1.75,7
10.0,9.98,7.6,1.75,8
10.0,8.65,7.6,2.0,0
10.0,8.84,7.6,2.0,1
10.0,9.03,7.6,2.0,2
10.0,9.22,7.6,2.0,3
10.0,9.41,7.6,2.0,4
10.0,9.6,7.6,2.0,5
10.0,9.79,7.6,2.0,6
10.0,9.98,7.6,2.0,7
10.0,10.17,7.6,2.0,8
10.0,8.82,7.6,2.25,0
10.0,9.01,7.6,2.25,1
10.0,9.2,7.6,2.25,2
10.0,9.4,7.6,2.25,3
10.0,9.59,7.6,2.25,4
10.0,9.79,7.6,2.25,5
10.0,9.98,7.6,2.25,6
10.0,10.17,7.6,2.25,7
10.0,10.37,7.6,2.25,8
10.0,8.98,7.6,2.5,0
10.0,9.18,7.6,2.5,1
10.0,9.38,7.6,2.5,2
10.0,9.57,7.6,2.5,3
10.0,9.77,7.6,2.5,4
10.0,9.97,7.6,2.5,5
10.0,10.17,7.6,2.5,6
10.0,10.36,7.6,2.5,7
10.0,10.56,7.6,2.5,8
10.0,9.15,7.6,2.75,0
10.0,9.35,7.6,2.75,1
10.0,9.55,7.6,2.75,2
10.0,9.75,7.6,2.75,3
10.0,9.95,7.6,2.75,4
10.0,10.15,7.6,2.75,5
10.0,10.35,7.6,2.75,6
10.0,10.56,7.6,2.75,7
10.0,10.76,7.6,2.75,8
10.0,9.31,7.6,3.0,0
10.0,9.52,7.6,3.0,1
10.0,9.72,7.6,3.0,2
10.0,9.93,7.6,3.0,3
10.0,10.13,7.6,3.0,4
10.0,10.34,7.6,3.0,5
10.0,10.54,7.6,3.0,6
10.0,10.75,7.6,3.0,7
10.0,10.95,7.6,3.0,8
10.0,9.48,7.6,3.25,0
10.0,9.68,7.6,3.25,1
10.0,9.89,7.6,3.25,2
10.0,10.1,7.6,3.25,3
10.0,10.31,7.6,3.25,4
10.0,10.52,7.6,3.25,5
10.0,10.73,7.6,3.25,6
10.0,10.94,7.6,3.25,7
10.0,11.14,7.6,3.25,8
10.0,9.64,7.6,3.5,0
10.0,9.85,7.6,3.5,1
10.0,10.07,7.6,3.5,2
10.0,10.28,7.6,3.5,3
10.0,10.49,7.6,3.5,4
10.0,10.7,7.6,3.5,5
10.0,10.91,7.6,3.5,6
10.0,11.13,7.6,3.5,7
10.0,11.34,7.6,3.5,8
10.0,9.81,7.6,3.75,0
10.0,10.02,7.6,3.75,1
10.0,10.24,7.6,3.75,2
10.0,10.45,7.6,3.75,3
10.0,10.67,7.6,3.75,4
10.0,10.89,7.6,3.75,5
10.0,11.1,7.6,3.75,6
10.0,11.32,7.6,3.75,7
10.0,11.53,7.6,3.75,8
10.0,9.97,7.6,4.0,0
10.0,10.19,7.6,4.0,1
10.0,10.41,7.6,4.0,2
10.0,10.63,7.6,4.0,3
10.0,10.85,7.6,4.0,4
10.0,11.07,7.6,4.0,5
10.0,11.29,7.6,4.0,6
10.0,11.51,7.6,4.0,7
10.0,11.73,7.6,4.0,8
10.0,7.41,7.8,0.0,0
10.0,7.57,7.8,0.0,1
10.0,7.74,7.8,0.0,2
10.0,7.9,7.8,0.0,3
10.0,8.06,7.8,0.0,4
10.0,8.23,7.8,0.0,5
10.0,8.39,7.8,0.0,6
10.0,8.55,7.8,0.0,7
10.0,8.71,7.8,0.0,8
10.0,7.58,7.8,0.25,0
10.0,7.74,7.8,0.25,1
10.0,7.91,7.8,0.25,2
10.0,8.08,7.8,0.25,3
10.0,8.24,7.8,0.25,4
10.0,8.41,7.8,0.25,5
10.0,8.58,7.8,0.25,6
10.0,8.74,7.8,0.25,7
10.0,8.91,7.8,0.25,8
10.0,7.74,7.8,0.5,0
10.0,7.91,7.8,0.5,1
10.0,8.08,7.8,0.5,2
10.0,8.26,7.8,0.5,3
10.0,8.43,7.8,0.5,4
10.0,8.6,7.8,0.5,5
10.0,8.77,7.8,0.5,6
10.0,8.94,7.8,0.5,7
10.0,9.11,7.8,0.5,8
10.0,7.91,7.8,0.75,0
10.0,8.08,7.8,0.75,1
10.0,8.26,7.8,0.75,2
10.0,8.43,7.8,0.75,3
10.0,8.61,7.8,0.75,4
10.0,8.78,7.8,0.75,5
10.0,8.96,7.8,0.75,6
10.0,9.13,7.8,0.75,7
10.0,9.3,7.8,0.75,8
10.0,8.08,7.8,1.0,0
10.0,8.26,7.8,1.0,1
10.0,8.43,7.8,1.0,2
10.0,8.61,7.8,1.0,3
10.0,8.79,7.8,1.0,4
10.0,8.97,7.8,1.0,5
10.0,9.14,7.8,1.0,6
10.0,9.32,7.8,1.0,7
10.0,9.5,7.8,1.0,8
10.0,8.24,7.8,1.25,0
10.0,8.43,7.8,1.25,1
10.0,8.61,7.8,1.25,2
10.0,8.79,7.8,1.25,3
10.0,8.97,7.8,1.25,4
10.0,9.15,7.8,1.25,5
10.0,9.33,7.8,1.25,6
10.0,9.51,7.8,1.25,7
10.0,9.7,7.8,1.25,8
10.0,8.41,7.8,1.5,0
10.0,8.6,7.8,1.5,1
10.0,8.78,7.8,1.5,2
10.0,8.97,7.8,1.5,3
10.0,9.15,7.8,1.5,4
10.0,9.34,7.8,1.5,5
10.0,9.52,7.8,1.5,6
10.0,9.71,7.8,1.5,7
10.0,9.89,7.8,1.5,8
10.0,8.58,7.8,1.75,0
10.0,8.77,7.8,1.75,1
10.0,8.96,7.8,1.75,2
10.0,9.14,7.8,1.75,3
10.0,9.33,7.8,1.75,4
10.0,9.52,7.8,1.75,5
10.0,9.71,7.8,1.75,6
10.0,9.9,7.8,1.75,7
10.0,10.09,7.8,1.75,8
10.0,8.74,7.8,2.0,0
10.0,8.94,7.8,2.0,1
10.0,9.13,7.8,2.0,2
10.0,9.32,7.8,2.0,3
10.0,9.51,7.8,2.0,4
10.0,9.71,7.8,2.0,5
10.0,9.9,7.8,2.0,6
10.0,10.09,7.8,2.0,7
10.0,10.28,7.8,2.0,8
10.0,8.91,7.8,2.25,0
10.0,9.11,7.8,2.25,1
10.0,9.3,7.8,2.25,2
10.0,9.5,7.8,2.25,3
10.0,9.7,7.8,2.25,4
10.0,9.89,7.8,2.25,5
10.0,10.09,7.8,2.25,6
10.0,10.28,7.8,2.25,7
10.0,10.48,7.8,2.25,8
10.0,9.08,7.8,2.5,0
10.0,9.28,7.8,2.5,1
10.0,9.48,7.8,2.5,2
10.0,9.68,7.8,2.5,3
10.0,9.88,7.8,2.5,4
10.0,10.08,7.8,2.5,5
10.0,10.28,7.8,2.5,6
10.0,10.48,7.8,2.5,7
10.0,10.68,7.8,2.5,8
10.0,9.24,7.8,2.75,0
10.0,9.45,7.8,2.75,1
10.0,9.65,7.8,2.75,2
10.0,9.86,7.8,2.75,3
10.0,10.06,7.8,2.75,4
10.0,10.26,7.8,2.75,5
10.0,10.47,7.8,2.75,6
10.0,10.67,7.8,2.75,7
10.0,10.87,7.8,2.75,8
10.0,9.41,7.8,3.0,0
10.0,9.62,7.8,3.0,1
10.0,9.83,7.8,3.0,2
10.0,10.03,7.8,3.0,3
10.0,10.24,7.8,3.0,4
10.0,10.45,7.8,3.0,5
10.0,10.65,7.8,3.0,6
10.0,10.86,7.8,3.0,7
10.0,11.07,7.8,3.0,8
10.0,9.58,7.8,3.25,0
10.0,9.79,7.8,3.25,1
10.0,10.0,7.8,3.25,2
10.0,10.21,7.8,3.25,3
10.0,10.42,7.8,3.25,4
10.0,10.63,7.8,3.25,5
10.0,10.84,7.8,3.25,6
10.0,11.05,7.8,3.25,7
10.0,11.26,7.8,3.25,8
10.0,9.75,7.8,3.5,0
10.0,9.96,7.8,3.5,1
10.0,10.17,7.8,3.5,2
10.0,10.39,7.8,3.5,3
10.0,10.6,7.8,3.5,4
10.0,10.82,7.8,3.5,5
10.0,11.03,7.8,3.5,6
10.0,11.25,7.8,3.5,7
10.0,11.46,7.8,3.5,8
10.0,9.91,7.8,3.75,0
10.0,10.13,7.8,3.75,1
10.0,10.35,7.8,3.75,2
10.0,10.57,7.8,3.75,3
10.0,10.78,7.8,3.75,4
10.0,11.0,7.8,3.75,5
10.0,11.22,7.8,3.75,6
10.0,11.44,7.8,3.75,7
10.0,11.66,7.8,3.75,8
10.0,10.08,7.8,4.0,0
10.0,10.3,7.8,4.0,1
10.0,10.52,7.8,4.0,2
10.0,10.74,7.8,4.0,3
10.0,10.97,7.8,4.0,4
10.0,11.19,7.8,4.0,5
10.0,11.41,7.8,4.0,6
10.0,11.63,7.8,4.0,7
10.0,11.85,7.8,4.0,8
10.0,7.49,8.0,0.0,0
10.0,7.65,8.0,0.0,1
10.0,7.82,8.0,0.0,2
10.0,7.98,8.0,0.0,3
10.0,8.15,8.0,0.0,4
10.0,8.31,8.0,0.0,5
10.0,8.48,8.0,0.0,6
10.0,8.64,8.0,0.0,7
10.0,8.81,8.0,0.0,8
